Entity,Year,co2_per_capita,life_expectancy
United States,1990,20.253748,75.3743
United States,1991,19.793287,75.5243
United States,1992,19.948572,75.779
United States,1993,20.102255,75.5677
United States,1994,20.197258,75.7381
United States,1995,20.230127,75.8522
United States,1996,20.678873,76.1749
United States,1997,20.745182,76.4981
United States,1998,20.774931,76.6592
United States,1999,20.805534,76.6691
United States,2000,21.39786,76.8058
United States,2001,20.766743,76.9194
United States,2002,20.718021,76.9883
United States,2003,20.718428,77.1369
United States,2004,20.873743,77.535
United States,2005,20.71883,77.5264
United States,2006,20.236742,77.7976
United States,2007,20.28047,78.0471
United States,2008,19.409172,78.1273
United States,2009,17.81067,78.4758
United States,2010,18.22542,78.6681
United States,2011,17.634142,78.7023
United States,2012,16.812391,78.8169
United States,2013,17.09857,78.8175
United States,2014,17.118917,78.8785
United States,2015,16.461393,78.7219
United States,2016,15.934658,78.686
United States,2017,15.639208,78.6483
United States,2018,16.000992,78.7997
United States,2019,15.500492,78.916
United States,2020,13.8168955,77.0115
United States,2021,14.758024,76.3836
United States,2022,14.802047,77.9789
United States,2023,14.31945,79.3043
China,1990,2.1528878,68.1547
China,1991,2.2370765,68.6099
China,1992,2.3057148,69.0587
China,1993,2.4340296,69.4924
China,1994,2.559043,69.8355
China,1995,2.7465813,70.3631
China,1996,2.8427844,70.8225
China,1997,2.8299394,71.2271
China,1998,2.6824508,71.6014
China,1999,2.817025,71.9519
China,2000,2.8700879,72.2885
China,2001,2.912365,72.6755
China,2002,3.184619,73.0339
China,2003,3.7351773,73.3853
China,2004,4.001966,73.7274
China,2005,4.4899764,74.085
China,2006,4.921031,74.4037
China,2007,5.2606664,74.7886
China,2008,5.6172485,74.8333
China,2009,5.8706574,75.3174
China,2010,6.370445,75.6679
China,2011,6.998823,75.8891
China,2012,7.131918,76.2
China,2013,7.2097993,76.4521
China,2014,7.187588,76.7143
China,2015,7.0609546,76.9755
China,2016,6.9428844,77.214
China,2017,7.080384,77.2353
China,2018,7.2915606,77.709
China,2019,7.5260706,77.9396
China,2020,7.64075,78.0191
China,2021,7.910899,78.1166
China,2022,8.217776,78.2021
China,2023,8.556261,77.9529
India,1990,0.668214,58.6184
India,1991,0.69619745,59.0324
India,1992,0.72586346,59.445
India,1993,0.7344633,59.823
India,1994,0.7586807,60.2372
India,1995,0.7919185,60.6295
India,1996,0.8406862,61.0269
India,1997,0.8587196,61.4393
India,1998,0.8597363,61.8525
India,1999,0.92580426,62.2837
India,2000,0.9330219,62.7492
India,2001,0.92884284,63.1581
India,2002,0.94091654,63.6486
India,2003,0.95665747,64.0862
India,2004,0.9987847,64.4843
India,2005,1.0352627,64.9385
India,2006,1.1026897,65.3726
India,2007,1.1703311,65.8034
India,2008,1.2338176,66.2471
India,2009,1.3164382,66.7001
India,2010,1.3498628,67.1616
India,2011,1.3999841,67.6228
India,2012,1.5070187,68.0763
India,2013,1.5398146,68.499
India,2014,1.6368889,68.9323
India,2015,1.6805544,69.326
India,2016,1.7504745,69.7091
India,2017,1.7840685,70.0676
India,2018,1.8879061,70.4152
India,2019,1.8798543,70.7463
India,2020,1.7272933,70.1563
India,2021,1.8920738,67.2823
India,2022,1.9861692,71.6984
India,2023,2.1297693,72.0026
Germany,1990,13.233256,75.3414
Germany,1991,12.663626,75.5597
Germany,1992,11.978324,76.0035
Germany,1993,11.773517,76.0803
Germany,1994,11.534621,76.3799
Germany,1995,11.459825,76.5515
Germany,1996,11.666093,76.7833
Germany,1997,11.306132,77.2182
Germany,1998,11.26054,77.5759
Germany,1999,10.9630375,77.7977
Germany,2000,10.990293,78.0563
Germany,2001,11.1706505,78.4023
Germany,2002,10.952268,78.4749
Germany,2003,10.893722,78.5361
Germany,2004,10.677804,79.1186
Germany,2005,10.57788,79.254
Germany,2006,10.849607,79.5862
Germany,2007,10.407971,79.7306
Germany,2008,10.561389,79.8161
Germany,2009,9.760688,79.9151
Germany,2010,10.22758,80.0814
Germany,2011,9.95007,80.3549
Germany,2012,10.060916,80.5017
Germany,2013,10.263195,80.454
Germany,2014,9.739761,80.9056
Germany,2015,9.756902,80.5658
Germany,2016,9.642186,80.8371
Germany,2017,9.441122,80.9371
Germany,2018,9.101415,80.8747
Germany,2019,8.480803,81.1893
Germany,2020,7.738692,81.0036
Germany,2021,8.100614,81.1059
Germany,2022,7.942359,80.5796
Germany,2023,7.022808,81.3777
Brazil,1990,1.466092,65.8624
Brazil,1991,1.5119112,66.203
Brazil,1992,1.5141841,66.5393
Brazil,1993,1.5581249,66.8923
Brazil,1994,1.5948403,67.2934
Brazil,1995,1.66122,67.7006
Brazil,1996,1.7619148,68.1084
Brazil,1997,1.8417497,68.505
Brazil,1998,1.8760941,68.8482
Brazil,1999,1.9066226,69.2111
Brazil,2000,1.9548683,69.5842
Brazil,2001,1.9634905,69.98
Brazil,2002,1.948225,70.3958
Brazil,2003,1.9080932,70.8841
Brazil,2004,1.9785615,71.3611
Brazil,2005,1.9728968,71.8319
Brazil,2006,1.976238,72.2963
Brazil,2007,2.0714328,72.7297
Brazil,2008,2.167588,73.1109
Brazil,2009,2.0292346,73.4569
Brazil,2010,2.2729204,73.779
Brazil,2011,2.3653224,74.0473
Brazil,2012,2.5268083,74.3346
Brazil,2013,2.6782215,74.6093
Brazil,2014,2.7814436,74.8225
Brazil,2015,2.6189272,75.1064
Brazil,2016,2.4197884,75.0805
Brazil,2017,2.429146,75.3835
Brazil,2018,2.3123908,75.6335
Brazil,2019,2.2979572,75.8093
Brazil,2020,2.1470218,74.5058
Brazil,2021,2.3696554,73.0377
Brazil,2022,2.2826612,74.8719
Brazil,2023,2.2922719,75.8482
United Kingdom,1990,10.4927225,75.7377
United Kingdom,1991,10.588317,75.9108
United Kingdom,1992,10.288521,76.3074
United Kingdom,1993,10.017321,76.1602
United Kingdom,1994,9.896297,76.7198
United Kingdom,1995,9.735405,76.614
United Kingdom,1996,10.0647545,76.8719
United Kingdom,1997,9.62765,77.1389
United Kingdom,1998,9.697672,77.2745
United Kingdom,1999,9.545588,77.3728
United Kingdom,2000,9.635275,77.8491
United Kingdom,2001,9.748509,78.1208
United Kingdom,2002,9.40991,78.237
United Kingdom,2003,9.555585,78.3302
United Kingdom,2004,9.530167,78.8998
United Kingdom,2005,9.412128,79.1061
United Kingdom,2006,9.301154,79.3474
United Kingdom,2007,9.09334,79.5337
United Kingdom,2008,8.785364,79.6554
United Kingdom,2009,7.9049363,80.1556
United Kingdom,2010,8.124634,80.3908
United Kingdom,2011,7.3959785,80.7961
United Kingdom,2012,7.62153,80.8594
United Kingdom,2013,7.4175463,80.9232
United Kingdom,2014,6.764833,81.1529
United Kingdom,2015,6.461413,80.919
United Kingdom,2016,6.061766,81.0675
United Kingdom,2017,5.8378453,81.164
United Kingdom,2018,5.6886244,81.1229
United Kingdom,2019,5.4350777,81.4426
United Kingdom,2020,4.84416,80.3854
United Kingdom,2021,5.059431,80.708
United Kingdom,2022,4.563232,81.0744
United Kingdom,2023,4.481841,81.3015
Japan,1990,9.358634,78.9928
Japan,1991,9.416044,79.262
Japan,1992,9.450228,79.303
Japan,1993,9.366616,79.4461
Japan,1994,9.762861,79.8366
Japan,1995,9.834065,79.6837
Japan,1996,9.912181,80.3627
Japan,1997,9.828307,80.5836
Japan,1998,9.493024,80.6487
Japan,1999,9.76424,80.6129
Japan,2000,9.920687,81.1788
Japan,2001,9.790459,81.5101
Japan,2002,10.004505,81.7952
Japan,2003,10.055865,81.854
Japan,2004,10.007541,82.1275
Japan,2005,10.056906,82.0073
Japan,2006,9.87084,82.3699
Japan,2007,10.141284,82.5488
Japan,2008,9.587431,82.6332
Japan,2009,9.050865,82.9699
Japan,2010,9.447968,82.916
Japan,2011,9.845555,82.6705
Japan,2012,10.178457,83.1676
Japan,2013,10.271204,83.4018
Japan,2014,9.885529,83.6434
Japan,2015,9.58534,83.8832
Japan,2016,9.436406,84.0568
Japan,2017,9.321171,84.1891
Japan,2018,8.971074,84.289
Japan,2019,8.698248,84.4177
Japan,2020,8.212569,84.6703
Japan,2021,8.422242,84.55
Japan,2022,8.237319,84.0541
Japan,2023,7.9352145,84.7123
France,1990,6.9293327,76.8351
France,1991,7.3180947,77.0162
France,1992,7.096411,77.2973
France,1993,6.728049,77.3488
France,1994,6.5845513,77.7681
France,1995,6.6496673,77.8715
France,1996,6.909002,78.0613
France,1997,6.76169,78.4246
France,1998,7.049427,78.5879
France,1999,6.9912124,78.7457
France,2000,6.849684,79.0438
France,2001,6.8707247,79.2208
France,2002,6.746978,79.4109
France,2003,6.799168,79.419
France,2004,6.7686367,80.3363
France,2005,6.756068,80.3367
France,2006,6.5539103,80.7449
France,2007,6.3502436,80.9602
France,2008,6.2088747,81.0392
France,2009,5.8853593,81.1635
France,2010,5.945996,81.4047
France,2011,5.572035,81.781
France,2012,5.59021,81.739
France,2013,5.591334,81.9786
France,2014,5.067184,82.4366
France,2015,5.116293,82.1487
France,2016,5.1545954,82.4008
France,2017,5.182955,82.4385
France,2018,4.93138,82.5682
France,2019,4.812466,82.7304
France,2020,4.271517,82.1993
France,2021,4.649748,82.3216
France,2022,4.4555726,82.4753
France,2023,4.067842,83.3253
Nigeria,1990,0.39935368,45.7327
Nigeria,1991,0.41958869,45.4832
Nigeria,1992,0.45091593,45.5874
Nigeria,1993,0.42526343,45.7826
Nigeria,1994,0.74451894,45.7476
Nigeria,1995,0.7600689,45.8701
Nigeria,1996,0.85945815,45.8328
Nigeria,1997,0.81922936,45.9598
Nigeria,1998,0.720408,46.1479
Nigeria,1999,0.68947214,46.6088
Nigeria,2000,0.7661745,47.1427
Nigeria,2001,0.7717245,47.5493
Nigeria,2002,0.6735968,48.0201
Nigeria,2003,0.7290653,48.618
Nigeria,2004,0.67321587,49.1477
Nigeria,2005,0.7010616,49.5377
Nigeria,2006,0.60436517,49.876
Nigeria,2007,0.53612256,50.3812
Nigeria,2008,0.5488045,50.7483
Nigeria,2009,0.47535717,51.0801
Nigeria,2010,0.67239475,51.3145
Nigeria,2011,0.73588383,51.4902
Nigeria,2012,0.62499523,51.6876
Nigeria,2013,0.648446,51.8271
Nigeria,2014,0.6668816,51.9401
Nigeria,2015,0.57965857,51.9394
Nigeria,2016,0.5955475,52.1894
Nigeria,2017,0.5619865,52.3971
Nigeria,2018,0.52106166,52.669
Nigeria,2019,0.61034876,53.0086
Nigeria,2020,0.58365196,53.0724
Nigeria,2021,0.6762326,53.455
Nigeria,2022,0.58902264,54.079
Nigeria,2023,0.5677305,54.4623
Australia,1990,16.235903,77.0414
Australia,1991,16.10294,77.4806
Australia,1992,16.207693,77.4731
Australia,1993,16.294191,78.006
Australia,1994,16.405329,77.8515
Australia,1995,16.853085,78.2569
Australia,1996,17.036093,78.3436
Australia,1997,17.305813,78.6256
Australia,1998,17.861351,79.0202
Australia,1999,18.184906,79.2769
Australia,2000,18.288157,79.6207
Australia,2001,18.469387,80.006
Australia,2002,18.495451,80.0515
Australia,2003,18.708109,80.4396
Australia,2004,19.055769,80.7334
Australia,2005,18.974682,81.0923
Australia,2006,19.007372,81.2581
Australia,2007,19.036264,81.2324
Australia,2008,18.91755,81.4267
Australia,2009,18.683231,81.7283
Australia,2010,18.292547,82.0132
Australia,2011,17.96612,82.0911
Australia,2012,17.72246,82.2966
Australia,2013,17.121933,82.5511
Australia,2014,16.639103,82.5182
Australia,2015,16.72746,82.605
Australia,2016,16.837934,82.8014
Australia,2017,16.71615,82.7184
Australia,2018,16.512163,83.2582
Australia,2019,16.28262,83.2412
Australia,2020,15.481285,83.6639
Australia,2021,14.96633,83.564
Australia,2022,14.65893,82.7662
Australia,2023,14.529289,83.9228